No,Tren_Harga,Broker_Summary,Volume_Transaksi,Status_Orderbook,Keputusan
141,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
142,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
143,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
144,Sideways,Netral,Rendah,Kuat Offer,Wait
145,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
146,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
147,Downtrend,Netral,Rendah,Kuat Bid,Wait
148,Downtrend,Netral,Tinggi,Kuat Bid,Buy
149,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
150,Uptrend,Netral,Rendah,Kuat Offer,Wait
151,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
152,Sideways,Distribusi,Rendah,Kuat Offer,Wait
153,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
154,Sideways,Netral,Tinggi,Kuat Offer,Wait
155,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
156,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
157,Sideways,Netral,Tinggi,Kuat Offer,Wait
158,Sideways,Distribusi,Rendah,Kuat Offer,Wait
159,Sideways,Netral,Tinggi,Kuat Offer,Wait
160,Sideways,Netral,Rendah,Kuat Bid,Wait
161,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
162,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
163,Downtrend,Netral,Tinggi,Kuat Offer,Wait
164,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
165,Uptrend,Netral,Tinggi,Kuat Offer,Buy
166,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
167,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
168,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
169,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
170,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
171,Sideways,Netral,Tinggi,Kuat Bid,Buy
172,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
173,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
174,Downtrend,Netral,Rendah,Kuat Bid,Wait
175,Sideways,Netral,Tinggi,Kuat Bid,Buy
176,Sideways,Netral,Tinggi,Kuat Bid,Buy
177,Sideways,Distribusi,Rendah,Kuat Offer,Wait
178,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
179,Uptrend,Netral,Rendah,Kuat Offer,Wait
180,Downtrend,Netral,Tinggi,Kuat Offer,Wait
181,Sideways,Netral,Rendah,Kuat Offer,Wait
182,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
183,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
184,Downtrend,Netral,Tinggi,Kuat Offer,Wait
185,Sideways,Netral,Rendah,Kuat Offer,Wait
186,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
187,Sideways,Netral,Rendah,Kuat Offer,Wait
188,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
189,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
190,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
191,Sideways,Netral,Rendah,Kuat Offer,Wait
192,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
193,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
194,Downtrend,Netral,Rendah,Kuat Offer,Wait
195,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
196,Downtrend,Netral,Tinggi,Kuat Bid,Buy
197,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
198,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
199,Downtrend,Netral,Tinggi,Kuat Bid,Buy
200,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
201,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
202,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
203,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
204,Sideways,Netral,Rendah,Kuat Bid,Wait
205,Downtrend,Netral,Rendah,Kuat Offer,Wait
206,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
207,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
208,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
209,Uptrend,Netral,Rendah,Kuat Offer,Wait
210,Sideways,Netral,Rendah,Kuat Bid,Wait
211,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
212,Sideways,Distribusi,Rendah,Kuat Offer,Wait
213,Sideways,Netral,Tinggi,Kuat Bid,Buy
214,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
215,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
216,Sideways,Netral,Tinggi,Kuat Bid,Buy
217,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
218,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
219,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
220,Uptrend,Netral,Rendah,Kuat Offer,Wait
221,Sideways,Netral,Rendah,Kuat Bid,Wait
222,Uptrend,Netral,Rendah,Kuat Offer,Wait
223,Sideways,Netral,Rendah,Kuat Bid,Wait
224,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
225,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
226,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
227,Sideways,Netral,Tinggi,Kuat Offer,Wait
228,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
229,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
230,Sideways,Netral,Tinggi,Kuat Bid,Buy
231,Sideways,Distribusi,Rendah,Kuat Bid,Wait
232,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
233,Uptrend,Netral,Rendah,Kuat Offer,Wait
234,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
235,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
236,Downtrend,Netral,Rendah,Kuat Bid,Wait
237,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
238,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
239,Downtrend,Netral,Rendah,Kuat Bid,Wait
240,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
241,Sideways,Netral,Tinggi,Kuat Offer,Wait
242,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
243,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
244,Downtrend,Netral,Rendah,Kuat Offer,Wait
245,Sideways,Netral,Rendah,Kuat Offer,Wait
246,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
247,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
248,Sideways,Netral,Tinggi,Kuat Offer,Wait
249,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
250,Sideways,Netral,Tinggi,Kuat Offer,Wait
251,Downtrend,Netral,Rendah,Kuat Bid,Wait
252,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
253,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
254,Uptrend,Netral,Rendah,Kuat Bid,Buy
255,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
256,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
257,Sideways,Netral,Rendah,Kuat Bid,Wait
258,Uptrend,Netral,Tinggi,Kuat Offer,Buy
259,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
260,Sideways,Netral,Rendah,Kuat Bid,Wait
261,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
262,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
263,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
264,Downtrend,Netral,Rendah,Kuat Bid,Wait
265,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
266,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
267,Uptrend,Netral,Tinggi,Kuat Bid,Buy
268,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
269,Sideways,Netral,Rendah,Kuat Offer,Wait
270,Sideways,Netral,Rendah,Kuat Offer,Wait
271,Uptrend,Netral,Rendah,Kuat Offer,Wait
272,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
273,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
274,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
275,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
276,Downtrend,Netral,Rendah,Kuat Bid,Wait
277,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
278,Downtrend,Distribusi,Rendah,Kuat Offer,Wait
279,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
280,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
281,Downtrend,Netral,Tinggi,Kuat Bid,Buy
282,Sideways,Netral,Rendah,Kuat Bid,Wait
283,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
284,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
285,Sideways,Distribusi,Rendah,Kuat Bid,Wait
286,Downtrend,Netral,Rendah,Kuat Offer,Wait
287,Uptrend,Netral,Tinggi,Kuat Bid,Buy
288,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
289,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
290,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
291,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
292,Sideways,Netral,Tinggi,Kuat Offer,Wait
293,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
294,Uptrend,Netral,Rendah,Kuat Offer,Wait
295,Sideways,Netral,Rendah,Kuat Bid,Wait
296,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
297,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
298,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
299,Uptrend,Netral,Rendah,Kuat Bid,Buy
300,Sideways,Distribusi,Rendah,Kuat Bid,Wait
301,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
302,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
303,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
304,Uptrend,Netral,Tinggi,Kuat Bid,Buy
305,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
306,Downtrend,Netral,Tinggi,Kuat Bid,Buy
307,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
308,Uptrend,Netral,Rendah,Kuat Offer,Wait
309,Sideways,Netral,Tinggi,Kuat Offer,Wait
310,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
311,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
312,Uptrend,Netral,Rendah,Kuat Offer,Wait
313,Downtrend,Netral,Rendah,Kuat Bid,Wait
314,Sideways,Netral,Tinggi,Kuat Offer,Wait
315,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
316,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
317,Sideways,Netral,Tinggi,Kuat Bid,Buy
318,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
319,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
320,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
321,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
322,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
323,Uptrend,Netral,Rendah,Kuat Offer,Wait
324,Uptrend,Netral,Rendah,Kuat Offer,Wait
325,Downtrend,Netral,Tinggi,Kuat Offer,Wait
326,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
327,Downtrend,Netral,Rendah,Kuat Offer,Wait
328,Uptrend,Netral,Rendah,Kuat Offer,Wait
329,Downtrend,Netral,Rendah,Kuat Bid,Wait
330,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
331,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
332,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
333,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
334,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
335,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
336,Uptrend,Netral,Rendah,Kuat Bid,Buy
337,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
338,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
339,Uptrend,Netral,Tinggi,Kuat Offer,Buy
340,Downtrend,Netral,Rendah,Kuat Bid,Wait
341,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
342,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
343,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
344,Uptrend,Netral,Tinggi,Kuat Offer,Buy
345,Sideways,Netral,Rendah,Kuat Offer,Wait
346,Uptrend,Netral,Rendah,Kuat Offer,Wait
347,Sideways,Distribusi,Rendah,Kuat Offer,Wait
348,Uptrend,Netral,Tinggi,Kuat Bid,Buy
349,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
350,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
351,Downtrend,Netral,Tinggi,Kuat Bid,Buy
352,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
353,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
354,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
355,Downtrend,Netral,Rendah,Kuat Bid,Wait
356,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
357,Sideways,Netral,Rendah,Kuat Bid,Wait
358,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
359,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
360,Uptrend,Netral,Rendah,Kuat Bid,Buy
361,Downtrend,Netral,Rendah,Kuat Bid,Wait
362,Downtrend,Netral,Rendah,Kuat Bid,Wait
363,Downtrend,Netral,Rendah,Kuat Offer,Wait
364,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
365,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
366,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
367,Sideways,Netral,Tinggi,Kuat Offer,Wait
368,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
369,Uptrend,Netral,Rendah,Kuat Offer,Wait
370,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
371,Sideways,Netral,Tinggi,Kuat Bid,Buy
372,Sideways,Netral,Tinggi,Kuat Offer,Wait
373,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
374,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
375,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
376,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
377,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
378,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
379,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
380,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
381,Sideways,Netral,Tinggi,Kuat Bid,Buy
382,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
383,Uptrend,Netral,Tinggi,Kuat Bid,Buy
384,Uptrend,Akumulasi,Tinggi,Kuat Bid,Buy
385,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
386,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
387,Uptrend,Netral,Tinggi,Kuat Bid,Buy
388,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
389,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
390,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
391,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
392,Uptrend,Distribusi,Tinggi,Kuat Bid,Buy
393,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
394,Sideways,Netral,Rendah,Kuat Bid,Wait
395,Sideways,Netral,Rendah,Kuat Offer,Wait
396,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
397,Sideways,Akumulasi,Tinggi,Kuat Offer,Buy
398,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
399,Uptrend,Distribusi,Tinggi,Kuat Offer,Buy
400,Downtrend,Akumulasi,Tinggi,Kuat Offer,Buy
401,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
402,Sideways,Netral,Rendah,Kuat Bid,Wait
403,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
404,Downtrend,Distribusi,Rendah,Kuat Bid,Wait
405,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
406,Downtrend,Netral,Tinggi,Kuat Offer,Wait
407,Uptrend,Akumulasi,Rendah,Kuat Bid,Buy
408,Sideways,Netral,Tinggi,Kuat Bid,Buy
409,Sideways,Distribusi,Rendah,Kuat Offer,Wait
410,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
411,Uptrend,Netral,Rendah,Kuat Bid,Buy
412,Sideways,Akumulasi,Rendah,Kuat Bid,Buy
413,Sideways,Netral,Tinggi,Kuat Bid,Buy
414,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
415,Sideways,Distribusi,Tinggi,Kuat Offer,Wait
416,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
417,Uptrend,Netral,Rendah,Kuat Offer,Wait
418,Downtrend,Netral,Rendah,Kuat Bid,Wait
419,Sideways,Akumulasi,Rendah,Kuat Offer,Wait
420,Uptrend,Netral,Rendah,Kuat Bid,Buy
421,Sideways,Netral,Tinggi,Kuat Bid,Buy
422,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
423,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
424,Uptrend,Netral,Tinggi,Kuat Offer,Buy
425,Sideways,Distribusi,Rendah,Kuat Bid,Wait
426,Uptrend,Netral,Rendah,Kuat Bid,Buy
427,Uptrend,Akumulasi,Rendah,Kuat Offer,Buy
428,Sideways,Netral,Tinggi,Kuat Offer,Wait
429,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
430,Uptrend,Netral,Rendah,Kuat Offer,Wait
431,Sideways,Netral,Rendah,Kuat Bid,Wait
432,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
433,Downtrend,Distribusi,Tinggi,Kuat Offer,Wait
434,Uptrend,Netral,Rendah,Kuat Bid,Buy
435,Sideways,Netral,Rendah,Kuat Offer,Wait
436,Sideways,Netral,Tinggi,Kuat Offer,Wait
437,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
438,Uptrend,Netral,Tinggi,Kuat Bid,Buy
439,Downtrend,Akumulasi,Tinggi,Kuat Bid,Buy
440,Uptrend,Distribusi,Rendah,Kuat Bid,Buy
441,Sideways,Distribusi,Rendah,Kuat Offer,Wait
442,Downtrend,Akumulasi,Rendah,Kuat Bid,Buy
443,Uptrend,Netral,Tinggi,Kuat Bid,Buy
444,Downtrend,Netral,Tinggi,Kuat Offer,Wait
445,Sideways,Distribusi,Tinggi,Kuat Bid,Buy
446,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
447,Uptrend,Akumulasi,Tinggi,Kuat Offer,Buy
448,Downtrend,Akumulasi,Rendah,Kuat Offer,Wait
449,Sideways,Netral,Tinggi,Kuat Bid,Buy
450,Sideways,Akumulasi,Tinggi,Kuat Bid,Buy
451,Uptrend,Netral,Tinggi,Kuat Bid,Buy
452,Downtrend,Distribusi,Tinggi,Kuat Bid,Buy
453,Uptrend,Distribusi,Rendah,Kuat Offer,Wait
